digit_strings,msg_length,contains_currency,keyword_count,spam
0,112,FALSE,0,FALSE
0,30,FALSE,0,FALSE
3,156,FALSE,4,TRUE
0,50,FALSE,0,FALSE
0,62,FALSE,0,FALSE
0,149,TRUE,2,TRUE
0,78,FALSE,0,FALSE
0,161,FALSE,3,FALSE
1,159,TRUE,5,TRUE
1,155,FALSE,3,TRUE
0,110,FALSE,0,FALSE
1,137,FALSE,4,TRUE
2,157,TRUE,6,TRUE
0,197,FALSE,2,FALSE
0,36,FALSE,0,FALSE
0,150,FALSE,3,TRUE
0,27,FALSE,0,FALSE
0,82,FALSE,0,FALSE
0,59,FALSE,0,FALSE
3,157,FALSE,2,TRUE
0,42,FALSE,0,FALSE
0,50,TRUE,0,FALSE
0,54,FALSE,0,FALSE
0,89,FALSE,0,FALSE
0,58,FALSE,0,FALSE
0,145,FALSE,0,FALSE
0,31,FALSE,0,FALSE
0,135,FALSE,0,FALSE
0,76,FALSE,0,FALSE
0,65,FALSE,0,FALSE
0,131,FALSE,0,FALSE
0,190,FALSE,1,FALSE
0,30,FALSE,0,FALSE
0,85,FALSE,0,FALSE
0,160,TRUE,2,TRUE
0,124,FALSE,1,FALSE
0,48,FALSE,0,FALSE
0,29,FALSE,0,FALSE
0,28,FALSE,0,FALSE
0,156,FALSE,1,FALSE
0,83,FALSE,0,FALSE
0,143,FALSE,0,FALSE
2,173,FALSE,7,TRUE
0,20,FALSE,0,FALSE
0,73,FALSE,0,FALSE
0,33,FALSE,2,FALSE
0,46,FALSE,0,FALSE
0,32,FALSE,0,FALSE
0,68,FALSE,0,FALSE
0,149,FALSE,0,FALSE
0,59,FALSE,0,FALSE
0,125,FALSE,0,FALSE
0,81,FALSE,0,FALSE
0,290,FALSE,1,FALSE
0,121,FALSE,3,TRUE
0,77,FALSE,0,FALSE
1,162,FALSE,2,TRUE
0,35,FALSE,1,FALSE
0,23,FALSE,0,FALSE
0,41,FALSE,0,FALSE
0,109,TRUE,0,FALSE
0,49,FALSE,0,FALSE
0,26,FALSE,0,FALSE
0,57,FALSE,0,FALSE
0,111,FALSE,0,FALSE
2,154,TRUE,3,TRUE
0,123,FALSE,0,FALSE
2,162,TRUE,3,TRUE
0,79,FALSE,0,TRUE
0,35,FALSE,0,FALSE
0,47,FALSE,0,FALSE
0,30,FALSE,0,FALSE
0,46,FALSE,0,FALSE
0,43,FALSE,0,FALSE
0,21,FALSE,1,FALSE
0,44,FALSE,2,FALSE
0,74,FALSE,0,FALSE
0,51,FALSE,0,FALSE
0,43,FALSE,0,FALSE
0,77,FALSE,0,FALSE
0,23,FALSE,1,FALSE
0,33,FALSE,1,FALSE
0,33,FALSE,0,FALSE
0,37,FALSE,0,FALSE
0,15,FALSE,1,FALSE
0,56,FALSE,2,FALSE
0,122,FALSE,0,FALSE
0,145,FALSE,0,FALSE
0,43,FALSE,0,FALSE
0,42,FALSE,1,FALSE
0,63,TRUE,0,FALSE
0,196,FALSE,0,FALSE
0,142,FALSE,0,FALSE
4,140,TRUE,3,TRUE
0,108,FALSE,0,FALSE
2,159,FALSE,2,TRUE
0,34,FALSE,0,FALSE
0,52,FALSE,0,FALSE
0,179,FALSE,0,FALSE
0,32,FALSE,0,FALSE
0,58,FALSE,1,FALSE
0,82,FALSE,0,FALSE
0,77,FALSE,0,FALSE
0,161,FALSE,3,FALSE
0,184,FALSE,0,FALSE
0,45,FALSE,0,FALSE
0,96,FALSE,0,FALSE
0,44,FALSE,0,FALSE
0,83,FALSE,0,FALSE
0,116,FALSE,0,FALSE
0,31,FALSE,0,FALSE
0,41,FALSE,0,FALSE
0,32,FALSE,1,FALSE
0,97,FALSE,0,FALSE
2,160,TRUE,4,TRUE
0,144,FALSE,0,FALSE
0,157,FALSE,0,FALSE
2,154,TRUE,2,TRUE
0,73,FALSE,0,FALSE
0,87,FALSE,0,FALSE
4,145,FALSE,2,TRUE
2,158,TRUE,4,TRUE
0,54,FALSE,0,FALSE
3,157,TRUE,2,TRUE
0,53,FALSE,0,FALSE
0,41,FALSE,0,FALSE
0,21,FALSE,0,FALSE
0,245,FALSE,1,FALSE
0,23,FALSE,0,FALSE
0,108,FALSE,1,FALSE
0,29,FALSE,0,FALSE
0,10,FALSE,0,FALSE
0,40,FALSE,1,FALSE
0,26,FALSE,0,FALSE
1,127,TRUE,2,TRUE
1,163,FALSE,2,TRUE
0,39,FALSE,0,FALSE
0,35,FALSE,1,FALSE
0,47,FALSE,0,FALSE
1,156,FALSE,3,TRUE
0,87,FALSE,0,FALSE
0,34,FALSE,1,FALSE
0,28,FALSE,0,FALSE
0,157,FALSE,0,FALSE
0,43,FALSE,0,FALSE
0,26,FALSE,0,FALSE
0,49,FALSE,0,FALSE
1,160,FALSE,6,TRUE
0,85,FALSE,1,FALSE
0,34,FALSE,0,FALSE
0,31,FALSE,0,FALSE
0,46,FALSE,2,FALSE
0,60,FALSE,0,FALSE
0,26,FALSE,1,FALSE
0,161,FALSE,3,FALSE
0,385,FALSE,2,FALSE
0,29,FALSE,0,FALSE
0,28,FALSE,0,FALSE
0,158,FALSE,0,FALSE
1,125,FALSE,1,TRUE
2,147,TRUE,2,TRUE
0,116,FALSE,0,FALSE
0,65,FALSE,0,FALSE
0,86,FALSE,0,FALSE
1,153,FALSE,5,TRUE
0,156,FALSE,1,TRUE
0,52,FALSE,0,FALSE
1,158,TRUE,5,TRUE
0,75,FALSE,0,FALSE
0,68,FALSE,0,FALSE
0,60,FALSE,0,FALSE
0,51,FALSE,0,FALSE
0,95,FALSE,2,FALSE
0,34,FALSE,0,FALSE
0,106,FALSE,0,FALSE
0,62,FALSE,0,FALSE
0,66,FALSE,1,FALSE
0,27,FALSE,0,FALSE
0,147,TRUE,2,FALSE
0,67,FALSE,2,FALSE
0,127,FALSE,2,FALSE
0,160,FALSE,1,FALSE
0,24,FALSE,0,FALSE
0,66,FALSE,0,FALSE
0,25,FALSE,0,FALSE
0,27,FALSE,0,FALSE
0,153,FALSE,0,FALSE
0,35,FALSE,0,FALSE
4,150,TRUE,4,TRUE
0,56,FALSE,0,FALSE
0,89,FALSE,0,FALSE
0,73,FALSE,0,TRUE
0,186,FALSE,0,FALSE
0,38,FALSE,0,FALSE
0,112,FALSE,1,FALSE
0,93,FALSE,0,FALSE
0,29,FALSE,0,FALSE
0,29,FALSE,0,FALSE
0,65,FALSE,0,FALSE
0,132,FALSE,1,FALSE
0,41,FALSE,0,FALSE
0,29,FALSE,0,FALSE
0,85,FALSE,1,FALSE
0,175,FALSE,0,FALSE
0,25,FALSE,0,FALSE
0,26,FALSE,1,FALSE
0,65,FALSE,0,FALSE
0,157,FALSE,0,FALSE
0,29,FALSE,0,FALSE
0,87,FALSE,0,FALSE
0,40,FALSE,0,FALSE
0,74,FALSE,0,FALSE
0,27,FALSE,0,FALSE
0,24,FALSE,0,FALSE
0,25,FALSE,0,FALSE
0,32,FALSE,0,FALSE
0,59,FALSE,0,FALSE
0,49,FALSE,0,FALSE
0,42,FALSE,0,FALSE
0,33,FALSE,0,FALSE
0,160,FALSE,0,FALSE
0,26,FALSE,0,FALSE
0,162,FALSE,1,FALSE
0,23,FALSE,1,FALSE
0,120,FALSE,0,FALSE
3,144,TRUE,2,TRUE
0,70,FALSE,1,FALSE
0,138,FALSE,2,TRUE
0,31,FALSE,0,FALSE
0,166,FALSE,0,FALSE
0,35,FALSE,0,FALSE
0,110,FALSE,0,FALSE
0,38,FALSE,0,FALSE
0,34,FALSE,0,FALSE
0,49,FALSE,0,FALSE
0,158,FALSE,3,TRUE
0,51,FALSE,0,FALSE
0,66,FALSE,1,FALSE
0,39,FALSE,0,FALSE
0,146,FALSE,1,FALSE
2,146,FALSE,1,TRUE
0,52,FALSE,0,FALSE
0,46,FALSE,0,FALSE
0,84,FALSE,0,FALSE
0,156,FALSE,0,FALSE
0,38,FALSE,0,FALSE
0,79,FALSE,0,FALSE
0,31,FALSE,1,FALSE
0,32,FALSE,1,FALSE
0,147,FALSE,0,FALSE
1,151,FALSE,3,TRUE
0,45,FALSE,0,FALSE
0,180,FALSE,1,FALSE
0,28,FALSE,0,FALSE
0,180,FALSE,0,FALSE
0,39,FALSE,0,FALSE
0,98,FALSE,0,FALSE
0,44,FALSE,0,FALSE
0,37,FALSE,0,FALSE
1,155,FALSE,5,TRUE
0,75,TRUE,0,FALSE
0,4,FALSE,0,FALSE
0,86,FALSE,0,FALSE
1,52,FALSE,0,FALSE
2,122,FALSE,5,TRUE
0,27,FALSE,0,FALSE
0,36,FALSE,0,FALSE
0,48,FALSE,0,FALSE
2,160,FALSE,7,TRUE
0,48,FALSE,0,FALSE
0,134,FALSE,2,TRUE
0,54,FALSE,0,FALSE
0,148,FALSE,0,FALSE
1,156,FALSE,2,TRUE
0,38,FALSE,0,FALSE
0,32,FALSE,0,FALSE
0,9,FALSE,0,FALSE
0,39,FALSE,0,FALSE
0,31,FALSE,0,FALSE
0,48,FALSE,0,FALSE
0,57,FALSE,1,FALSE
0,23,FALSE,1,FALSE
0,144,FALSE,0,FALSE
0,30,FALSE,0,FALSE
0,8,FALSE,0,FALSE
0,122,FALSE,0,FALSE
0,59,FALSE,0,FALSE
0,5,FALSE,0,FALSE
0,149,FALSE,1,FALSE
0,161,FALSE,2,FALSE
0,153,FALSE,0,FALSE
0,38,FALSE,0,FALSE
0,56,FALSE,0,FALSE
0,22,FALSE,0,FALSE
0,23,FALSE,0,FALSE
0,51,FALSE,0,FALSE
2,160,FALSE,4,TRUE
0,68,FALSE,0,FALSE
0,154,FALSE,0,FALSE
0,52,FALSE,0,FALSE
0,68,FALSE,0,FALSE
0,89,FALSE,0,FALSE
0,158,FALSE,0,FALSE
0,92,FALSE,0,FALSE
0,25,FALSE,0,FALSE
0,147,FALSE,2,TRUE
0,58,FALSE,0,FALSE
0,27,FALSE,0,FALSE
0,72,FALSE,1,FALSE
1,139,FALSE,1,TRUE
0,56,FALSE,0,FALSE
0,157,FALSE,0,FALSE
1,135,TRUE,4,TRUE
0,120,FALSE,1,FALSE
0,143,FALSE,0,FALSE
0,42,FALSE,0,FALSE
0,27,FALSE,0,FALSE
0,120,FALSE,0,FALSE
0,47,FALSE,0,FALSE
1,158,FALSE,3,TRUE
0,24,FALSE,0,FALSE
0,52,FALSE,0,FALSE
0,63,FALSE,0,FALSE
0,108,FALSE,0,FALSE
0,158,FALSE,0,FALSE
0,31,FALSE,0,FALSE
0,33,FALSE,2,FALSE
0,32,FALSE,0,FALSE
0,80,FALSE,0,FALSE
0,33,FALSE,1,FALSE
0,87,FALSE,1,FALSE
0,23,FALSE,0,FALSE
0,77,FALSE,0,FALSE
1,129,FALSE,2,TRUE
0,233,FALSE,0,FALSE
3,160,TRUE,2,TRUE
0,46,FALSE,0,FALSE
0,58,FALSE,1,FALSE
0,27,FALSE,0,FALSE
0,23,FALSE,1,FALSE
0,42,FALSE,2,FALSE
0,29,FALSE,0,FALSE
1,152,FALSE,1,FALSE
0,30,FALSE,0,FALSE
0,35,FALSE,0,FALSE
0,53,FALSE,0,FALSE
0,34,FALSE,0,FALSE
0,86,FALSE,0,FALSE
0,32,FALSE,0,FALSE
1,112,FALSE,4,TRUE
0,79,FALSE,0,FALSE
0,51,FALSE,0,FALSE
0,64,FALSE,0,FALSE
0,149,FALSE,1,FALSE
0,130,FALSE,0,FALSE
0,46,FALSE,0,FALSE
0,203,FALSE,1,FALSE
1,151,FALSE,3,TRUE
2,149,FALSE,2,TRUE
0,169,FALSE,0,FALSE
0,86,FALSE,0,FALSE
0,39,FALSE,0,FALSE
0,16,FALSE,0,FALSE
0,32,FALSE,0,FALSE
0,89,FALSE,0,FALSE
0,161,FALSE,0,FALSE
0,51,FALSE,0,FALSE
2,166,FALSE,5,TRUE
2,130,FALSE,3,TRUE
0,27,FALSE,0,FALSE
0,32,FALSE,1,FALSE
0,130,FALSE,0,FALSE
0,35,FALSE,0,FALSE
0,55,FALSE,1,FALSE
0,163,FALSE,0,FALSE
1,158,FALSE,2,TRUE
0,24,FALSE,0,FALSE
0,54,FALSE,0,FALSE
0,132,FALSE,0,FALSE
0,37,FALSE,0,FALSE
